,run,n,spread-type,simple-spread-chance,graph-type,ba-m,organizing-capacity,organizing-strategy,repetition,data,dtw,rsme,total_error,corr_coef
0,0,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,0,"[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 0. 0. 0.
 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 2. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 0.
 0. 2. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 1.
 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 3. 0. 1. 2. 0. 0. 1. 0. 0. 0.
 1. 0. 0. 1. 0. 0. 0. 0. 2. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.
 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1.
 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 1. 1. 0. 0. 1. 0. 0.
 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0.
 0. 0. 2. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1.
 1. 0. 1. 3. 2. 0. 1. 1. 0. 0. 0. 2.]",17945.62629052818,155.71929824561403,-0.08442967916105726,
1,1,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 0. 3. 2. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 2. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.
 1. 0. 0. 0. 0. 0. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 1. 1.
 1. 0. 0. 0. 0. 1. 2. 1. 1. 0. 2. 0. 0. 1. 1. 4. 1. 3. 1. 0. 0. 0. 0. 0.
 2. 0. 2. 0. 3. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 2. 0. 1. 0. 0.
 3. 0. 1. 0. 1. 0. 2. 0. 2. 1. 1. 0. 2. 0. 1. 0. 2. 1. 0. 1. 0. 0. 1. 0.
 1. 0. 0. 1. 2. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 2. 0. 1. 1.
 0. 2. 1. 0. 2. 1. 0. 1. 1. 1. 1. 0. 2. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.
 1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1. 1. 2. 0. 1. 2. 1. 0. 0. 0. 0. 1. 0. 0.
 1. 0. 1. 0. 0. 0. 0. 2. 0. 0. 0. 0.]",17918.870349018856,155.30701754385964,-0.006051718305047658,
2,2,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0.
 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0.
 2. 0. 0. 1. 0. 2. 2. 2. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1.
 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 2. 0. 0. 1. 0. 0. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1.
 2. 0. 0. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 2. 2. 1. 2. 0. 1. 0. 1. 0. 2.
 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 0. 0. 1. 0. 1. 1. 2. 0. 0. 0. 0.
 2. 2. 0. 0. 1. 0. 1. 0. 0. 1. 0. 1.]",17884.430075820328,156.30701754385964,-0.03383262661758668,
3,3,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1.
 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 1. 2. 0. 1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 1. 2. 1. 1. 0.
 2. 3. 1. 0. 1. 1. 1. 3. 1. 0. 4. 1. 1. 0. 0. 0. 2. 1. 0. 1. 3. 3. 5. 0.
 1. 0. 0. 1. 2. 1. 0. 0. 1. 0. 3. 0. 1. 0. 0. 2. 2. 0. 2. 3. 2. 0. 0. 3.
 5. 2. 1. 1. 2. 0. 5. 0. 1. 0. 0. 0. 0. 2. 1. 1. 1. 2. 3. 2. 3. 0. 1. 1.
 0. 4. 2. 2. 1. 2. 1. 1. 3. 1. 1. 1.]",17888.85179900161,155.8421052631579,0.00036222591370678806,
4,4,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.
 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.
 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.
 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0. 1. 0. 2. 3. 0. 1. 1. 0. 0. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 3. 0. 0. 1.
 3. 1. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 3. 0. 0. 0. 1. 2. 1. 0. 0. 1. 2. 2.
 1. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 0. 1. 1. 2. 1. 0. 1. 0. 1. 0. 1. 0. 2.
 0. 0. 0. 2. 0. 0. 0. 1. 0. 0. 0. 2.]",17888.830812945605,152.6578947368421,0.27728923222538054,
5,5,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,1,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 1.
 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 3. 0. 0. 2. 1. 4.
 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 1. 0. 0. 2. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 2. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1.
 0. 1. 1. 1. 0. 0. 2. 0. 1. 2. 0. 0. 2. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 2. 1. 1. 0. 1. 0. 2. 1. 0. 0. 0. 0. 1.
 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 2. 1.
 0. 0. 0. 1. 0. 1. 2. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 2. 1. 0. 0. 1.
 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1.
 0. 0. 0. 1. 0. 2. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1.
 1. 0. 0. 0. 2. 0. 1. 1. 0. 1. 2. 2. 0. 1. 0. 0. 2. 0. 0. 1. 0. 2. 0. 0.
 1. 0. 0. 0. 0. 0. 0. 0. 2. 0. 0. 1.]",17934.08375954911,155.00877192982455,-0.032867256908755235,
6,6,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,1,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0.
 0. 1. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0.
 1. 1. 1. 0. 1. 0. 0. 2. 0. 1. 0. 1. 0. 2. 0. 1. 2. 1. 0. 1. 0. 1. 0. 0.
 0. 0. 0. 0. 1. 2. 0. 1. 0. 0. 0. 1.]",17887.35649852324,156.21929824561403,-0.0516470685943251,
7,7,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,1,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 2. 1. 0. 0. 3. 1. 0. 0. 0. 0. 0.
 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 2. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 0. 0. 0. 3. 0. 0. 0. 0. 0. 0. 2. 0. 0.
 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 1. 1. 1. 0. 1. 1. 0. 1.
 2. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 2. 1. 0. 0. 2. 0. 0. 0. 0. 2. 1. 1. 0.
 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0. 0. 3. 0. 1. 0. 0.
 0. 0. 0. 1. 0. 2. 2. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 3. 0. 1. 1. 2. 0. 0.
 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 0. 1. 1. 1. 0. 0. 1. 0. 0. 2. 0. 0. 1. 2. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0.
 2. 0. 0. 0. 2. 1. 1. 0. 2. 2. 1. 2. 0. 1. 3. 0. 0. 1. 1. 0. 0. 0. 2. 2.
 1. 0. 0. 2. 1. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0.
 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0.]",17930.37024522785,154.5438596491228,-0.011172523626018002,
8,8,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,1,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 2. 1. 1. 1. 0. 0. 0. 0.
 2. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0.
 0. 1. 2. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0.
 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 2. 0. 0. 0. 0. 1. 0. 2. 0. 0. 1. 1. 0. 0. 1. 1. 0. 1.
 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 2. 0. 0. 0. 0. 0. 3. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 2. 1. 0. 2. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]",17867.110251493945,155.50877192982455,0.02968022025607303,
9,9,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,1,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 3. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0.
 1. 1. 0. 6. 0. 0. 1. 1. 2. 0. 1. 1. 1. 0. 3. 2. 2. 2. 1. 5. 3. 2. 3. 0.
 2. 1. 3. 3. 1. 3. 2. 2. 3. 1. 2. 2. 2. 3. 3. 2. 1. 3. 0. 0. 2. 1. 3. 1.
 1. 0. 2. 3. 1. 3. 0. 2. 3. 4. 1. 0. 0. 0. 3. 2. 1. 0. 1. 4. 3. 0. 1. 2.
 1. 0. 0. 4. 2. 2. 1. 0. 1. 1. 0. 2. 3. 0. 3. 2. 1. 1. 3. 0. 2. 2. 3. 1.
 1. 0. 1. 0. 1. 2. 1. 0. 0. 2. 4. 0. 0. 0. 1. 0. 2. 2. 3. 0. 1. 0. 0. 1.
 1. 1. 1. 1. 3. 0. 3. 0. 3. 2. 3. 0. 3. 1. 0. 0. 0. 2. 2. 3. 1. 2. 4. 1.
 2. 3. 1. 0. 0. 1. 1. 0. 1. 1. 0. 2. 2. 0. 1. 2. 4. 0. 3. 0. 0. 1. 2. 2.
 0. 0. 1. 1. 0. 0. 1. 0. 2. 2. 0. 0. 0. 4. 1. 1. 0. 1. 0. 0. 0. 2. 0. 0.
 0. 1. 0. 2. 1. 0. 1. 1. 1. 1. 1. 2. 1. 0. 1. 1. 0. 1. 0. 0. 2. 0. 1. 0.
 0. 3. 1. 0. 0. 0. 1. 2. 2. 0. 2. 0.]",17902.982059245565,141.1315789473684,0.3912369998392189,
10,10,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,2,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1. 1. 0. 0. 0. 2. 0. 1. 1. 0. 0. 0. 1.
 2. 1. 1. 1. 1. 1. 0. 0. 0. 1. 4. 2. 2. 2. 0. 0. 0. 0. 2. 1. 0. 2. 1. 0.
 0. 0. 3. 1. 1. 0. 1. 2. 0. 0. 1. 0. 1. 0. 0. 2. 0. 0. 1. 0. 0. 1. 0. 1.
 3. 0. 3. 1. 1. 1. 0. 0. 2. 0. 0. 0. 0. 0. 3. 1. 1. 0. 0. 0. 1. 2. 0. 1.
 1. 0. 0. 1. 0. 0. 0. 1. 0. 2. 0. 0. 1. 2. 1. 2. 2. 2. 0. 1. 1. 0. 0. 0.
 1. 0. 1. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 2. 0. 0. 0. 1. 2. 1. 0. 3. 0. 2.
 1. 0. 0. 1. 0. 0. 0. 0. 0. 2. 0. 0.]",17876.61253025742,156.21929824561403,0.021526324467738615,
11,11,300,simple,0.01,barabasi-albert,3,1,neighbors-of-neighbors,2,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.
 1. 0. 0. 1. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 2. 1. 2. 0. 0. 0. 0. 2. 1. 2.
 1. 0. 2. 1. 2. 3. 2. 3. 0. 1. 1. 2. 1. 1. 2. 1. 1. 1. 1. 3. 0. 3. 1. 1.
 1. 1. 1. 2. 3. 0. 2. 2. 0. 1. 4. 4. 1. 3. 0. 2. 1. 1. 2. 1. 0. 0. 4. 2.
 2. 4. 2. 1. 1. 2. 2. 5. 4. 0. 1. 6. 3. 0. 4. 1. 2. 2. 1. 2. 1. 3. 3. 2.
 0. 2. 2. 3. 3. 2. 0. 3. 4. 1. 1. 2. 0. 1. 1. 3. 1. 0. 2. 3. 1. 2. 1. 0.
 0. 1. 0. 2. 3. 2. 3. 0. 0. 1. 2. 2. 2. 0. 0. 0. 1. 1. 0. 1. 0. 1. 2. 3.
 2. 1. 3. 1. 0. 2. 2. 2. 1. 0. 3. 1. 0. 1. 3. 0. 3. 1. 3. 1. 1. 0. 1. 0.
 2. 1. 1. 1. 2. 0. 0. 1. 1. 1. 0. 2. 1. 1. 0. 0. 1. 0. 2. 1. 1. 1. 1. 2.
 1. 0. 1. 0. 2. 0. 2. 0. 1. 2. 0. 0. 1. 1. 1. 1. 0. 3. 3. 0. 0. 0. 1. 0.
 1. 2. 1. 1. 0. 1. 1. 0. 0. 0. 2. 0. 2. 0. 1. 1. 0. 1. 0. 1. 0. 1. 0. 0.
 0. 0. 0. 1. 2. 1. 0. 1. 1. 3. 0. 1.]",18069.675895941855,146.51754385964912,0.23691091511433793,
